an, bei, neben, bevorstehend, kommend, künftig, nächst, nahe	near
Garage	garage
schwimmen	swim
Kakao	cocoa
Mädchen	girl
Sommer	summer
Puder	cosmetic powder
in, nach, zu, ein gewisser, einer, irgend einer, irgendwer, jemand, à, je	a
Aroma, Duft	flavour, aroma
Geist, Intellekt, Verstand	mind
Pfirsich	peach
dienen, nützen	avail
hinter, hinten, nach	behind
akkurat, genau	punctual, prompt, on time
Hahn	cock, rooster
arrangieren, einrichten, ordnen, anorden, veranstalten	fix up
Guten Morgen	good morning
österreichisch, Österreicher	Austrian
entschuldigen	excuse
besonders, eigens	separately
April	April
Europa	Europe
Geduld	patience
schmal	narrow
worin	in which
Meister	maestro
auch, ebenfalls, gleichfalls, zu, zu sehr, zu viel	too
Mittel	remedy, resources
Unterschrift	signature
kämmen	comb
kurz	brief
Freundin, Freund	friend
Sicherheit	safety
anwerben, heuern, mieten	hire
schuldig	guilty
Briefmarke	postage stamp
hinter, nach, nachdem	after
Januar	January
ankommen, eintreffen, gelangen, zukommen, herzukommen	arrive
freundlich	affable, good-natured
sich langweilen	be bored, be tired of something
wollen	be willing to, want
an, bei, neben, um, zu	at
Liebe	love
arbeiten	work
Lehrerin	female teacher
Dollar	dollar
Kamm	comb
legen, stellen	locate
mitmachen, teilnehmen	take part
Fabrik	factory
krank	unwell, sick, ill
man	they, you
Wolke	cloud
Glaube, Religion	religion
Nacht	night
Million	million
Europäer, europäisch	European
sich irren	err, make a mistake
Hochschule, Universität	university
als, wann, wenn	when
Aufrichtigkeit	sincerity
behaupten, beschützen, verteidigen	defend
einfach, einzig	single
Pasta, Paste, Teig	dough, paste
Hoffnung	hope
Köchin, Koch	cook
kaufen, erwerben, sich kaufen, einkaufen	buy, purchase
an, bei, neben, zu	beside
also, daher, denn, doch, folglich, jedoch, somit, wohl	accordingly
Kellner	waiter
taumeln, wackeln, zagen, zaudern, zögern	waver
Oktober	October
ermorden, töten	slay, kill
Samstag, Sonnabend, Sabbat	Saturday
Dorf, Ort	village
Ziege	goat
anhören, horchen, aushorchen, zuhören	listen
Anstrengung	efforts
vergessen	forget
dann, darauf, hinterher, nachher, später	afterwards
Haltestelle, Station	stop
rund, um, um ... herum	round
System	system
Trinkspruch, Toast	toast
Front, Vorderseite	front, frontage
lassen, überlassen, unterlassen, zurücklassen, erlauben, gestatten	allow
Weg, Bahn, Chaussee, Strecke	road
Öffnung, Loch	aperture
Beginn, Anfang	outset, inception
Fisch	fish
Deutschland	Germany
der, die, das, welcher, welche, welches, dass, was, wer, dies, jenes	that
Stärke, Gewalt, Kraft	force, strength
Bahn, Eisenbahn	railway, railroad
ohne	without
Neuheit	newness
Schwierigkeit	difficulty
Braut	bride
an, bei, neben	next to
Eingang, Tor	portal
hell, licht, lichtvoll, Licht, flau, gelinde, schwach, leicht	light
Einfluss	influence
Fuhrwerk, Gefährt, Wagen	vehicle
technisch	technical
derselbe, dieselbe, dasselbe	the same
richten, urteilen, beurteilen	judge
Konfitüre, Marmelade	marmelade, jam
Apotheke	drugstore, chemist's shop
Korn, Getreide	grain
neunzehn	nineteen
Anzahl, Zahl, Betrag, Summe	amount
reparieren	repair
gleichzeitig	simultaneous
glauben	believe
Dienstag	Tuesday
Park	park
Art, Manier, Weise	manner
an, in, nach, zu, betreffs, bezüglich	toward
Tasche	pocket
genug, genügend, hinlänglich, ziemlich, sehr, ganz, gänzlich, gar	quite
entweder ... oder	either ... or ...
Fahrerschein, Führerschein	driving-licence
Deutsche	German woman
Kalbfleisch	veal
Richter	judge
öffentlich, Publikum	public
effektiv, tatsächlich, wirklich, faktisch, real	real
der, die, das, welcher, welche, welches, wer	who, which
Tor	fool, gateway, gate
tanzen	dance
gern haben, lieben, mögen	love
hell, licht, lichtvoll, anschaulich, bestimmt, deutlich, klar	clear
Bleistift	pencil
Anzug, Bekleidung, Gewand, Kleidung, Kleid	garment
Bild, Gemälde	painting
gestorben, tot, verstorben	dead
Belgierin	Belgian woman
lachen	laugh
heute Nachmittag	this afternoon
aneinander-, Mann	fellow
Hemd	shirt
kurios, merkwürdig, seltsam, gespannt, neugierig	curious
meist, am meisten	most
Höhe	height
Nachmittag	afternoon
halten, anhalten, Halt machen, stocken, stoppen	come a halt
Reisende	traveller
Handtuch	towel
Konstitution, Verfassung	constitution
Eigensinn, Laune	whim, caprice
Bahnhof, Haltestelle, Station	station
Hall, Klang, Laut, Schall, Ton	sound
natürlich	naturally, natural
aufziehen, bilden, erziehen, züchten	educate
zufrieden	pleased, contented
Halle	hall
Fassung, Lage, Situation, Zustand	circumstances, situation
ähnlich	similar
Freitag	Friday
Herbst, Fall	fall
höher, überlegen, Chef	superior
falsch, unwahr	untrue
leer	empty, void
grell, herb, scharf	abrasive, acrimonious
schließen, verschließen, zumachen	shut
dies	these, this here, this
behaupten	assert
kreuzen	cruise
adieu, auf Wiedersehen, lebe wohl	bye
praktisch, real, wirklich	practical
selten	seldom, precious, rare
Platz	public square, plaza
Pause	intermission, pause, break
Atelier, Werkstatt	workplace
tief	profound
danach	thereafter
außerdem, übrigens, zudem	as for the rest, for the rest, what's more
Regel	regulation
Ausland	foreign country
Gefahr	peril
Bündel, Päckchen, Paket	packet
Ansehen, Reputation, Ruf	reputation
breit	widely
Hals	neck
Kohl	cabbage
heißen	be called
Handel	commerce
neben	alongside
Abstufung, Nuance, Schattierung, Ton	hue, nuance
Quelle	source
Burg, Schloss	castle
überhaupt, alles	altogether
außerdem	as well as, and ... as well, and also
viel, viele	plenty of
abreisen, fortgehen	depart, go away, absent onself
Seife	soap
erster, erste, erstes, erst, erstens, zuerst	first
chinesisch, Chinesisch, Chinese, Chinesin	Chinese
fortführen, wegbringen	abduce, abduct
Dame, Ober [germana bildo], Dame [franca bildo], König	king
Kaninchen	rabbit
in, nach, zu	within, in, into
Frau	Mrs., madam
Englisch, englische Sprache	English language
Spitze	lace
anfangen, beginnen, anstellen, aufschrecken, anstiften, veranlassen, anbrechen	start
Lichtbild, Foto, Bild, Fotografie	photography
was für ein, welch	what kind of, what sort of, what a
andernfalls, anders, sonst	differently
abhängen	depend
bis	till, until
Bart	beard
Interview	interview
Andenken, Erinnerung, Gedächtnis	memory, recollection
Nichte	niece
Pfeife	whistle
ändern, umändern, verändern, sich ändern, tauschen, umtauschen, wechseln, umwechseln	change
Messer	knife
medizinisch	medical
süß, weich	soft
bloß, nackt	naked, bare, nude
an, gegen, gegenüber, wider	in exchange for, against, opposed to, across from
teuer	costly
da, weil, denn	because
Apfel	apple
Sorge tragen, sorgen	take care, care
endlich	at last
Kilogramm	kilo
schneien	snow
mager, hager	thin
Stadtviertel, Viertel	quarter
noch	nor, still
See	lake
versichern	insure
Traum	dream
Rindfleisch	beef
lang, lange	long
solcher, solche, solches, derartiger, derartige, derartiges, so, auf diese Weise	such
Kette, Reihe, Serie	series
also, daher, denn, doch, folglich, jedoch, somit, wohl, folgerichtig, demzufolge, mithin, konsequent, schlüssig	consequently
Polizei	police
rechts	on the right
Polen	Poland
untersagen, verbieten	prohibit, forbid
Film	motion picture, movie, film
aus, aus ... heraus	out of
mancher, viele	many
außer, außerhalb	outside of
ein gewisser, einer, irgend einer, irgendwer, jemand, ein paar, einige, etliche, manche	any
ermatten, ermüden	get tired
rechter	righthand
Lust, Wunsch, Wille	wish
Viertel, Viertelstunde	quarter of an hour
März	March
Gespräch, Unterhaltung, Unterredung, Konversation	conversation
dirigieren, führen, richten, steuern, leiten, lenken	guide
Rhein	Rhine
Abbild, Figur, Gestalt	representation
Chinesin	Chinese lady, Chinese woman
schieben	shove, push along
warten, erwarten, harren	wait for, wait, expect, await
Vorname	Christian name
Suppe	soup
Größe	greatness
Serviette	napkin
Augenblick, Moment	moment, instant
Kopfsalat, Salat	lettuce
bereit, fertig	ready
schmecken, kosten	taste
selber, selbe, selbes, gleicher, gleiche, gleiches	same
Sieg	victory
Bewegung	movement
borgen, leihen, darleihen, entlehnen, verleihen	loan
Taxe, Taxi	taxi
Enkelin	granddaughter
Vergangenheit, über ... hinaus, vorbei, vorüber	past
Dame, Ober [germana bildo], Dame [franca bildo], Königin	queen
Schlaf	sleep
abschneiden	cut off
Gott	god, God
Rede, Vortrag, Wort	speech
falls	in case
Bäcker	baker
Direktor, Leiter, Vorsteher	director
an Stelle von, statt, anstatt	instead of
heiß	hot
noch ein Mal, abermals, von neuem, wieder, wiederholt, zurück	once more
Köchin, Koch	male cook
nirgends	nowhere
begreifen, erfassen, verstehen	understand
beide	both
an, in, nach, zu, für, um, um zu	to
Advokat, Anwalt, Rechtsanwalt	solicitor, advocate, barrister, intercessor
lange	a long time
Minister	minister
Norwegen	Norway
löschen	redeem, pay off
Asien	Asia
Reisebüro	tourist agency, travel agency
Bank, Küste, Strand, Ufer, Gestade	bank
Geschwister	brothers and sisters, siblings
Vogel	bird
behalten, gedenken, sich erinnern, erinnern, sich besinnen, sich entsinnen	recall
verantwortlich	responsible, accountable
Dänemark	Denmark
Abendessen, Abendmahl	evening meal, supper
Herr	Mr.
feuern, schießen	shoot
oben	upstairs, on top
ja, doch	yes
erlauben, gestatten	permit
Zeitung	gazette
Handschuh	glove, mitten
Brücke	bridge
vergebens, vergeblich	fruitless, futile
Holland	Holland
Bremse	brake
Stirn	forehead
ein wenig, etwas, ziemlich, ein bisschen	a little, some extent, somewhat
Fremdenheim, Pension	boarding school, boarding house
studieren	study
nie, niemals, nimmer	never
Friedens-, friedlich, gemütlich	peaceful
duften, riechen	reek, give off an odour
Auskunft, Bericht, Bescheid	information
Etage, Geschoss, Stock, Stockwerk	storey
Spielzeug	toy
Westen	west
trotzdem, aber, doch, dennoch, jedoch	nevertheless
Halbinsel	peninsula
in, nach, zu, à, je, für, um, um zu	per
Schlafwagen	sleeping-car
Großmutter	grandmother
viel, zahlreich, viele	a lot of, much
elf	eleven
allein, bloß, erst, lediglich, nur, alleinig, einzig	only
vertrauenswert, zuverlässig	trustworthy, reliable
hochfahrend, hochmütig, stolz	proud
Lehraufgabe, Lektion, Unterrichtsstunde	lesson
Schule	school
besetzt	taken, engaged, busy, occupied
modern	modern
abermalig, abermals, von neuem, wieder	anew, all over again
bestimmt, bündig, exakt, genau, präzis, präzise, pünktlich	precise
Mücke	gnat
tippen	type
wahrscheinlich	probable
Fetzen, Lappen	rag
Angelegenheit, Ding, Sache, Werk, Handel, Geschäft	business
anschaulich, bestimmt, deutlich, klar	distinct
völlig	completely
Schrank	closet, cupboard, sideboard
Glied, Mitglied	limb
Mutter	mother
Tochter	daughter
spät, gestorben, tot, verstorben	late
Kaffee	coffee
Regieren, Regierung	control, reign
zwanzig	twenty
neugierig, gespannt	inquisitive, agog
entsetzlich, furchtbar, schrecklich, grässlich	dreadful, terrible
Strand	beach
Fernsehapparat, Fernsehgerät	TV set, television set
Dank, danke	thanks
Wissenschaft	science
Kraftfahrrad, Motorrad	motorcycle
der, die, das	that one
Erzählung, Geschichte	narrative, tale
darin	in it
bergen, verbergen, verhehlen, verheimlichen, verstecken	hide, conceal
Griechenland	Greece
Parlament	parliament
Sport	sport
Besprechung, Diskussion	discussion
leiten, herrschen, beherrschen, regieren	govern
Palast, Schloss	palace
Fortschritt	progress, advancement
Bericht	bulletin
Kuss	kiss
Reich, Staat, Stand, Zustand	state
Baby	baby
außerordentlich	formidable, extraordinary
freundlich, liebenswürdig, hübsch	pretty
in Versuchung führen, versuchen	tempt
November	November
bitte	please
Amt, Büro	bureau
Stunde, Uhr	hour, o'clock
Schwester	sister
begabt, fähig, imstande, tüchtig	capable
hierher, hierhin, hier	here
manchmal	several times
Stiege, Treppe	stairs, staircase
Briefumschlag, Kuvert, Umschlag	envelope
aktiv, tätig	in action
Körper, Leib	body
Kette	chain
Anstalt, Institut	institute
Mode, Weise	fashion
Frucht	fruit
antreffen, begegnen, sehen, ansehen, besuchen, einen Besuch abstatten, Sorge tragen, sorgen	see
herrschen, beherrschen, regieren	control, rule
Insekt	insect
politisch	political
beglückwünschen, gratulieren	congratulate
Meter	metre
Flasche	bottle
springen	leap, jump
Besorgnis, Sorge	care
trocken	dry
Berg	mountain
nun, jetzt, gegenwärtig	now
Beruf, Gewerbe	profession
ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich, groß	great
anderer, anders, sonst, ein anderer	another
kochen	cook
essen, fressen, genießen, speisen	eat
Mai	May
Liter	litre, liter
Preisausschreiben, Wettbewerb	contest
tauglich, tüchtig	of use
geschehen, vorkommen, werden, passieren, sich ereignen, stattfinden	come about, happen
Fahrgast, Passagier	passenger
Arbeit	chore
Tal	valley
Kauf, Einkauf	taking over, buy
Guten Tag	good afternoon, good day
Klima	climate
Hut	hat
arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig	important
Landstraße	highway
Ärger, Groll, Zorn	anger
Unbill, Unrecht	wrongdoing
Stil	style
beschließen, entscheiden, sich entschließen	decide
enden, endigen	come an end
Huhn	hen
Journalist	journalist
Journal, Zeitung	daily paper, journal
Österreich	Austria
Maß	measure
durstig	thirsty
auffassen, wahrnehmen, bemerken	notice
Literatur	literature
geschehen, vorkommen, werden	become
Art, Eigenschaft, Beschaffenheit, Güte, Qualität	quality
außerdem, übrigens, zudem, ausgenommen, außer, fort, weiter	besides
anlässlich, wegen, anläßlich, halber, um ... willen	on account of, because of
Verwaltung	management
wohl, wahrscheinlich	probably
Frühstück	breakfast
umsonst, vergebens, vergeblich	in vain
bereit, bereitwillig, gern	willingly
Wechsel	exchange
gleich	all the same
da, dort	over there, at that place
Musiker	musician
Schlafzimmer	bedroom
ein anderer	another man
Gruppe	group
einmal	one time
Bahnwagen, Wagen, Waggon	railway carriage, waggon
Menschheit	human race, mankind
Belgien	Belgium
Gottesdienst	church service, worship service
kurios, merkwürdig, seltsam	quaint
fünfzig	fifty
Schärfe, Achtung, Aufmerksamkeit	acuity
erzählen	narrate
Himmel	sky, heaven
bedächtig, behutsam, besonnen, vorsichtig	cautious
anfechten, beanstanden, Einspruch erheben, protestieren	protest
Spaziergang	stroll
Chinesisch	Chinese language
Beispiel, Exempel	example
jenseits, über, hinüber, drüben, im Jenseits, nach drüben	across
außer	with the exception of
Behaglichkeit, Komfort	comfort
allein, alleinig, bloß, einzig, einsam	solitary
eben, gerade, just, soeben	just now
Herde, Vieh	livestock
Karte, Zettel, Menü, Speisekarte	menu
nutzlos, vergebens, vergeblich	useless
sterben	pass away, die
Melone	melon
Geldkasten, Kasse	cashier's stand, money box, money-box
Dach	roof
Sicherheit, Vorsicht	caution
Krise	emergency, crisis
Angesicht, Antlitz, Gesicht	face
legen	lay
Charakter, Gemüt, Natur	nature
evangelisch	evangelic
äußerlich, draußen, hinaus, heraus, nach draußen	out
müssen, sollen, Most	must
belgisch, Belgierin, Belgier	Belgian
scherzen	jest, joke
Gerücht, Ruf	rumour, rumor
zentral	central
begnadigen, entschuldigen, verzeihen	pardon
Bahn, Chaussee, Strecke, Weg	route
zwölf	twelve
Sonntag	Sunday
Ding, Gegenstand, Objekt	object
Tür	door
Kirche	church
aber, doch, dennoch, jedoch	however
lassen, überlassen, unterlassen, zurücklassen, vermieten	let
Grad, Staffel, Stufe, Titel	degree
einrichten, organisieren	organize
klopfen, schlagen	knock
Reis	rice
Bushaltestelle	bus stop
weiter, danach, über ... hinaus, vorbei, vorüber, jenseits, über, hinüber	beyond
Taschentuch	handkerchief
verpassen	leave out, overlook
Verwundung, Verletzung, Wunde	injury, wound
Ehepaar	married people, couple
bestehen, da sein, existieren, vorhanden sein	exist
höflich, artig, galant	polite, courteous, well-mannered
beschleunigen, holen, sammeln, einsammeln, fassen, nehmen	pick up
Elektrizität	electricity
enthalten	contain
als	than
Band	ribbon
Nase	nose
Kino	movie theatre
Öl	oil
Russland	Russia
entfernt, entlegen, fern, weit	distant
Mittelpunkt, Zentrum	centre
England	England
Land	countryside
also, daher, denn, doch, folglich, jedoch, somit, wohl, damit, dass, so, auf diese Weise	so
bereits, schon	already, by now
heim, daheim, zu Hause	at home
wach	awake
hübsch, schön, ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich, sehr gut, hervorragend, delikat, fein, zart, Geldstrafe	fine
verschieden	diverse, varied, various
heiraten, sich verheiraten mit	become the husband of, become the wife of
freilich, tatsächlich	as a matter of fact
verraten	betray
Franzose	Frenchman
Geschmack	taste
Land, Boden, Erdboden, Erde, Grund, Terrain	land
Pater, Vater	father
Amerikanerin	American woman
Form, Gestalt	shape
froh	glad
möglich	possible
binden, verbinden	tie up
wickeln, einwickeln	bandage
September	September
Signal, Abzeichen, Anzeichen, Kennzeichen, Merkzeichen, Wink, Zeichen	mark
Lust, Wunsch	desire
abermalig, abermals, von neuem, wieder, wiederholt, zurück	afresh, again
Basis, Grundlage	basis
Finger	finger
Graben, Kanal	canal
Tante	aunt
Streik	strike
nötig, notwendig, erforderlich	necessary
Wirt	landlord, innkeeper
Schweinefleisch	pork
Onkel	uncle
Tomate	tomato
Bemühung, Mühe, Mühsal, Versuch, Probe, Prüfung	attempt
Belohnung, Lohn	compensation, reward
Guten Abend	good evening
Wohnhaus, Wohnung	dwelling
Dame	dame
Buch	book
grau	grey
solcher, solche, solches, derartiger, derartige, derartiges	such a, that kind of
besitzen, haben, innehaben	have got
Tod	death
schlafen	be asleep, sleep
Straßenbahn	tram, streetcar
Wut	hit, craze
plötzlich	sudden
Lampe	lamp
Schwein	hog, pig, swine
bitter	bitter
Abendland, Okzident, Westen	West
fort, weiter	furthermore
Übung	exercise
Pulli	pullover sweater
Bruder	brother
akkurat, genau, bestimmt, bündig, exakt, präzis, präzise, pünktlich	accurate
Eiland, Insel	island
scheren, abscheren, schneiden, abschneiden	clip, shear
Anzug, Gewand, Kleid	article of clothing
Physik	physics
ganz, gänzlich, gar	wholly
ein wenig, etwas, ziemlich, ein bisschen, ein gewisser, einer, irgend einer, irgendwer, jemand, ein paar, einige, etliche, manche	some
Ball, Tanz	dance
Frühe, Morgen	morning
mager	skinny, skimpy, lean
Olive	olive
Husten	cough
gemäß, nach	according to
Bedeutung, Geltung, Wert	worth, value
amüsieren, belustigen, ergötzen, unterhalten	amuse
Bluse	blouse
Handlung, Tat, Akt, Akte	act
rückwärts, zurück	backwards
falls, wenn	provided that
Tatsache	fact
das heißt, das ist	that is
Grund (Boden), Boden (Grund), Erdboden, Grund, Boden, Erde, Land, Terrain	soil
dafür halten, erachten, meinen	opine
eben, glatt, flach, geläufig	smooth
Auge	eye
vergelten, wiedergeben, zurückgeben	give back
Briefkasten	letterbox, mailbox
veräußern, verkaufen	sell, vend, dispose of
Geburt	birth
italienisch, Italiener	Italian
Küche	kitchen
Lamm	lamb
Märchen	fairy tale
spülen, waschen	wash
Volk	folk
antreffen, begegnen	come across, encounter
Briefträger	postman
wild	ferocious, wild, savage
Angst, Furcht	fear
aufwiegen, gelten, wert sein	be worth
bekannt	well-known
unternehmen, veranstalten, trachten nach, sich anstrengen, sich bemühen	undertake
bedächtig, behutsam, besonnen, vorsichtig, sorgfältig, sorgsam	careful
Mauer, Wand	wall
Regenschirm	umbrella
weniger	fewer, less
besser	better
fromm, gelassen, ruhig, sanft	quiet
um, um ... herum	around
einsteigen	get in
Anzahl, Zahl, Nummer	number
Schuh	shoe
amerikanisch, Amerikaner	American
küssen	kiss
begutachten, kritisieren	censure, criticize
sauer, grell, herb, scharf	acrid
Brot	loaf, bread
halten, anhalten, Halt machen, stocken, stoppen, bremsen, sperren	halt
menschlich	human
Bedienung, Dienst	waiting, attendance
bedauerlich, leider	regrettably, alas
Dieb	thief
Geburtstag	birthday
Ferien	spare time, time off
zurückhalten	detain, hold back
alt	aged
Bräutigam	fiancé
bilden, formen, gestalten	shape, form
Arbeit, Werk	work
sich interessieren	be interested, take an interest
Traube, Weintraube	grape
Neffe	nephew
Anzug, Bekleidung, Gewand, Kleidung	article of dress
arg, böse, Kreuz	cross
Angelegenheit, Ding, Sache, Werk, Fall, Kasus	affair
Reifen	hoop, tire
Ministerium	ministry
Abgeordneter	deputy
hinterlassen	leave behind
Mittwoch	Wednesday
Handlung, Tat, Kampf, Schlacht, Wirksamkeit, Einfluss, Prozess	action
Abstufung, Nuance, Schattierung, Ton, Schatten	shade
Absicht, Plan, Sinn, Verstand, Bezeichnung, Meinung, Bedeutung	meaning
Anlage, Garten	garden
Krankheit, Erkrankung	disease, ailment, illness
bedauern	be sorry about
freundlich, liebenswürdig, gutherzig, bereitwillig, Abart, Art, Gattung, Schlag, Sorte	kind
Kuh	cow
schwer	onerous, heavy, difficult, burdensome
zweifeln, bezweifeln	doubt
Norden	North
Amerikaner	US citizen
Staffel, Stufe	rung, stair
anbrechen, anfangen, beginnen	commence
Geschäft, Laden, Kramladen	store, shop
Ostern	Easter
Eimer	pail, bucket
führen, leiten, lenken	head
aktuell, gegenwärtig	up-to-date, topical
Sandwich	sandwich
Museum	museum
ähneln, gleichen	be similar, resemble
Käse	cheese
verlieren	lose
Ton	tone
Donnerstag	Thursday
Familienname, Nachname	surname
fortwerfen, wegwerfen	throw away
während, Zeit	while
berichtigen, korrigieren, verbessern	correct
Examen, Essay, Probe, Prüfung, Versuch	test
heute	today
Dezember	December
erringen, gewinnen	gain, win, earn
Orchester	orchestra
Auto, Automobil	automobile, motor car
allein, alleinig, bloß, einzig, nur	alone
Betrag, Summe	sum
tragen	wear, carry
behaglich, angenehm, genehm, freundlich, liebenswürdig, gut, gütig, nett, hübsch, delikat	nice
hauen, schlagen	beat
um, an, gegen, gegenüber, wider, anbelangt, betreffend, über, von, auf	upon
sehr	strongly, very much, very
bewundernswert, wunderbar	admirable
hervor, vorwärts, in, nach, zu, um, durch, mit, vermittels, ferner, mehr, weiter, anbelangt, betreffend, über, von, an, auf	on
sich unterhalten	converse
vermissen	miss
jüngst, vor, bevor, ehe	before
jenseits, über, hinüber	on the other side of
Vokabel, Wort	word
Absicht, Plan	intention
Urlaub	pass
Schauspieler	actor
Engländer	Englishman
forsch, tüchtig, kräftig, stark	vigorous
Freistaat, Republik	republic
neu	new
Gebärde, Geste	gesture
behaglich, angenehm, genehm, vergnügt, vergnüglich	agreeable, pleasant
Zitrone	lemon
Angst	anguish, fright
Abteilung, Fach	speciality, pigeonhole
reiten, fahren	ride
